# Names worked out by reading the decompiled function, with tools/re/batch.py for context.
# Only functions whose purpose is unambiguous from the body are named here; anything needing a guess is
# left as FUN_, because a wrong name in a database several people rely on costs more than a blank one.
#
# Script command arguments carry a 3-bit tag in their first word: bit 0 means "this is an instance
# property index rather than a literal", and bits 1-2 are the type - 0 int, 1 angle, 2 float. The three
# readers are GetScriptIntArg (0x209A68), GetScriptAngleArg (0x209AB0) and GetScriptFloatArg (0x209A00),
# and each tests (arg & 6) for its own value.
#
# address	kind	name	detail
0011c1e8	F	ResetBoundingBox	back to G_DefaultBbox_
00208410	F	ReadMovementCommandArgs	walks the command's records, tagging 0x38 and 0x39 as the movement argument types
002098a0	F	GetCameraInstanceContext	the renderer's current camera context, or null
0023cfd8	F	AddRandomOffset	adds three independently scaled random components to a vector
00141318	F	InitObjectInstanceContextType8	chains to the base constructor and installs the type 8 methods
00141648	F	InitInstanceCreationHelperType8	zeroes the base and installs InstanceCreationHelperType8_Methods
001979f0	F	InitInstanceContext	clears the reference counter and the rest of a fresh context
0023e308	F	GetOrCreateWobble	lazily builds the 0x110-byte wobble block at instance +0x108 and points it back at the instance
0023e510	F	ClearWobble	tears the wobble block down and clears +0x108
002d39d8	F	SignalFileSemaphore	releases the semaphore the sce file calls hold
0013e960	F	GetCreationHelperFlags	the flags word at helper +0x10 - bit 8 is "hurts the player on touch"
001a1960	F	ApplyOgiToCollision	pushes the node's OGI into its context's collision data
001c0dc8	F	InitGameMaterial	fresh material with the given id, no shader
002c7a88	F	LibcMalloc	the C library allocator behind sbrk - distinct from the game's own MemoryAllocate pool
002d7fa0	F	Multiply64	64-bit product assembled from 32-bit halves
0011bea0	F	SetColourRGB	packs r, g, b and an opaque alpha into four bytes
0017b330	F	SetButtonBindings	releases the node's current bindings and installs new ones
00182200	F	WaitForDmaIdle	enables every DMA channel and spins until the pending one reports complete
001a0098	F	InitMaterialShader	zeroes a freshly read shader
0020f5b0	F	AdvanceKeyIndex	next key, wrapping to the first and flagging when it passes the last
00263148	F	TouchEventWithin	true when the agent's last touch was of this kind and within the given number of seconds
00269130	F	GetCounterValue	the script counter array, at flow + 0x1018 + index * 4
00297f98	F	InitOgiAnimationSettings	binds the animation and works its length out from frame count, rate and speed
00298010	F	OgiAnimationSettings_Destroy	frees on bit 0 of the flag
002ad678	F	ChunkLinkCollisionDataList_Destroy	walks the list, releasing each link's collision data
00140950	F	InitObjectInstanceContextType3	chains to the type 8 constructor, then its own methods and default bbox
00140d88	F	InitInstanceCreationHelperType3	chains to the type 8 helper, then installs the type 3 methods
001f1ca8	F	GetOrCreateChunkDataContext	lazily allocates the chunk's data context
001f6028	F	InitBaseTriggerNode	binds the chunk, copies the trigger's activator bits
001f62f0	F	InitChunkRenderer	installs the methods and runs both sub-initialisers
0020fce8	F	PopScriptStatesAbove	kills every execution state above the current one and truncates the stack
0020fef0	F	GetScriptCallContext	context receiver by index, falling back to the call's second context at 0xff
0023d150	F	InitInstanceNodePrototype	base constructor for the instance node hierarchy
0023d328	F	ClearPendingUserMessage	drops the pending event argument and its source context
00101698	F	SetColourRed	float to byte, scaled by 192 - not 255
001016b8	F	SetColourGreen	float to byte, scaled by 192
001016d8	F	SetColourBlue	float to byte, scaled by 192
00101678	F	SetColourAlpha	float to byte, scaled by 128 - the GS convention where 0x80 is 1.0
00261ea8	F	InitInstancePropsHolderBase	clears the state flags and the extra storage pointer
001cd070	F	InitPrecompiledShaderBase	default bitfield, no texture, no animation
002ace20	F	InitGenericItemReader	binds a section reader implementation
002d9540	F	SoftFloatCompare	unpacks both doubles and compares them
002d9208	F	SoftFloatSub	unpacks both doubles, flips the second's sign, adds
001f0458	F	SetCollisionQueryContext	binds a collision query to a context and caches its collision id
001417a8	F	ResetInstanceCreationHelperType8	the default bitfield a fresh type 8 helper starts with
001f1ed0	F	ChunkQueryNearestInstance	nearest instance in the chunk, 1e30 when the chunk holds none
001f1f08	F	ChunkBroadcastToInstances	delivers to every instance in the chunk, returning how many took it
001958c8	F	InitInstanceInformation	empty chunk name, bound to the given chunk
001da880	F	EnsureVuProgramUploaded	uploads a shader's VU program if it is not already resident and advances the VU memory cursor
0023ddd8	F	RefreshWobbleTarget	rebuilds the wobble block when the impulse target has changed
00263198	F	AgentEventWithin	true when the agent's last event was within the given number of seconds
00268e60	F	FindChunkByIndex	linear search of the loaded chunks
002b63d8	F	InitBinaryReaderFromFile	fresh reader, then opens the path
001c1180	F	InitGameTexture	fresh texture with the given id and no vifCodeBlock
0018c880	F	RandomFloatSigned	GetRand scaled to -1..1 - the constants are 2^30 and 2^-30
001f0e78	F	ReallocCollisionMatrixValues	resizes the per-matrix short array, freeing the old one
001d9278	F	InitPrecompiledShaderType1	stamps the shader's type number
001da718	F	ResetVuPrograms	rewinds the VU memory cursor and re-registers programs 0x0e to 0x2a
00201a60	F	RenderDynamicSceneryNode	forwards the node's model storage to the dynamic scenery renderer
00204378	F	AppendDecimalDigits	recursive digit emitter with a minimum width
0023d238	F	ResetInstanceNodePrototype	clears the id, the instance node and the pending message
002406d8	F	WobbleBlock_Destroy	frees the wobble block's own buffer, then itself on bit 0
00240240	F	InitInstanceParticles	fresh particle block with a unit scale
002631d8	F	ResetInstanceCreationHelperBase	zeroes the three base fields
00140df0	F	ResetInstanceCreationHelperType3	chains to the type 8 reset, then the type 3 defaults
0015e4a8	F	ResetCameraState	vtable reset plus the four sub-state resets Command_ResetCamera_Run wants
001bc810	F	ReleaseGameMaterial	id -1 frees the material and every precompiled shader on it, otherwise returns it to the table
0028a518	F	ApplyImpulseAtPoint	adds linear velocity, torque from r x F, blends angular velocity 0.7/0.3, accumulates the magnitude
001ed750	F	ForEachInstanceInVolume	delivers to every instance inside the volume, returning how many took it
0018ddb0	F	AngleToQuaternion	fixed-point angle to a quaternion on VU0; the constant is 2*pi/65536, halved for the half-angle
001f1f58	F	ForEachInstanceOverlappingModel	the ForEachInstanceInVolume sibling that takes a collision model and a transform
001f20d0	F	AddInstanceToChunk	binds a context to a chunk, allocating the chunk's 769-slot instance storage on first use
00298d70	F	ApplyAnimationSpeed	rebuilds the animation settings at a new speed and applies them to both halves of the chain
001f6ad8	F	MakeBoundsFromSegment	centre and radius of the sphere spanning two endpoints
00196258	F	AddContextRef	appends a context to node 6's list of up to 16, with a per-entry flag byte at +0x60
00196d88	F	DetachAttachedObject	finds the attachment by index and either detaches it or just clears its owner
001f36d0	F	ClearSceneryChildren	nulls every child pointer a scenery node owns
00269278	F	SetChunkStateBit	sets or clears one bit of the chunk's persistent state bitfield, bounds-checked
00281128	F	UnpackCollisionTriangle	three 18-bit vertex indices out of one packed word, surface index in the top bits
00182280	F	BeginDmaChain	takes the next tag from a chain manager and opens a chain on it
001955a0	F	FindDefaultAttachment	first attachment whose slot byte is -1
00195600	F	FindAttachmentBySlot	first attachment in the requested slot
001a0dd0	F	AppendGifTag	writes a GIF tag reference into the chain for mode 1 or 2
001a2750	F	FindGraphicsResourceById	binary search of a graphics resource table
00195e98	F	FindContextRefIndex	index of a context in node 6's list, or -1
00132dc0	F	UnlinkPlayableCharacters	drops the link object for both partners and sends each event 0x42 - the counterpart to LinkPlayableCharacters and its event 0x41
001a2810	F	FindGameMaterialById	binary search of a material table - the material sibling of FindGraphicsResourceById
0011d4a0	F	InitRequestFocusCommand	ScriptCommand_0x22D constructor: identity rotation, five undefined ids, packed defaults
002d8eb8	F	UnpackDouble	IEEE-754 double into class, sign, unbiased exponent and shifted mantissa
001ccaf0	F	ShadowTypeToIndex	shadow object ids 0xbb-0xbe and 0x10d-0x110 to indices 0-7, -1 for anything else
001eb7b0	F	RegisterInstanceWithScenery	puts an instance into the scenery tree and the chunk's storage, recording its cell index
001f0af8	F	RefreshInstanceCollisionBinding	rebuilds bounds and scenery registration when the instance's OGI has changed
0023e668	F	ClearInstanceCollider	tears down the collider at instance +0x12c
001f1e40	F	ForEachInstanceInChunk	walks all 769 instance slots, returning how many took the call
001f3658	F	InitSceneryBase	clears both contexts, the parent, the model storage and all 16 light flags
001f4bc0	F	InitRefCountersStorage	32 empty reference slots, optionally taking the first reference
001f5520	F	TestPointInFrustum	transforms by the view-projection matrix and tests all six clip planes
001f63b0	F	ResetChunkRendererState	default fog colour, cleared visibility flags and bbox
001f6740	F	ReadClipFlags	VU0 clip registers into a 0/1/2 visibility verdict
00204b60	F	StringAssign	copies a C string in, reallocating in 32-byte granules, freeing on empty
0019a0c8	F	UnlinkFromIntrusiveList	removes a node from a list whose prev and next offsets are passed in
00292e90	F	ReleaseNodeSlot	clears the node's slot and pushes the index back onto the free list
0023d090	F	GetExitPointTransform	position and forward vector of an OGI exit point, by index
0018ef18	F	TransposeMatrix	4x4 transpose using the R5900's pextlw/pextuw/pcpyld shuffles
001eb8e8	F	ComputeInstanceBoundingBox	merges the boxes of every collision model, with fast paths for none and one
002d8d88	F	PackDouble	the inverse of UnpackDouble, with round-to-nearest-even and denormal handling
001ee8c0	F	RenderDynamicSceneryCulled	draws each mesh that survives the frustum test, returning how many
00209ab0	F	GetScriptAngleArg	the angle sibling: type tag 1 converts through AngleToFixed, anything else yields zero
001861d0	F	BuildBasisFromForward	orthonormal basis from a forward vector, with the degenerate straight-up and straight-down cases
001f08f8	F	SetBoxCollision	replaces the instance's collision model with a box and updates both bounding boxes
0024c3f0	F	ApplyImpulseToBody	routes an impulse to whichever physics representation the object has, by the 4-bit type at +0x8c
0018ee40	F	TransposeQuadwords	out-of-place 4x4 quadword transpose, the same shuffle TransposeMatrix uses
0020a5a0	F	InitScriptEventCaller	takes its references and sets up an event call
0018b6d0	F	SetTransformMatrix	copies a matrix into a transformed point and marks it dirty
0015fe08	F	GetPartnerCharacterContext	the other playable character's object context, through node 0xc
002409b0	F	DetachWobbleCollider	unhooks the wobble block's collider and frees its buffer
0023e560	F	ClearContactResponse	drops the contact-response block and clears the instance's response flags
002402b8	F	InstanceParticles_Destroy	releases every live particle handle, then itself on bit 0
00240350	F	AddParticleCommandArg	appends an argument to the block's list of up to eight, flagging type 5
002631f0	F	InitObjectInstanceContextBase	binds instance, object id, props and helper, and clears the ignore-events tag bit at +0x1C
002aded0	F	CreateFileLoadRequest	allocates a load request with placeholder paths and registers it with the readers storage
002c79e8	F	RegisterAtExit	pushes a callback onto the C library's exit chain, growing it in blocks of 32
00132ca8	F	LinkPlayableCharacters	builds a link object each way between two characters and sends each event 0x41
0017a898	F	FindInstanceByChunkAndIndex	resolves a saved chunk name plus index back to a live instance context
00195658	F	TakeDefaultAttachment	finds the attachment in slot -1, returns its id and detaches it
001956d8	F	TakeAttachmentBySlot	the same for an explicit slot
001c21a0	F	SelectLodMesh	picks the LOD mesh for a draw distance, or none when outside the model's range
001eb468	F	RebuildCollisionMatrices	reallocates the per-collision-model matrix array from the OGI
00298ca8	F	SetJointAnimation	installs an animation on a joint's chain, creating the chain on first use
001f0a78	F	SetCollisionWorldMatrix	replaces the cached world matrix and recomputes the bounding box
002943c8	F	UpdateExitPointMatrix	instance transform times exit-point matrix times joint transform, orthonormalised, dirty bits cleared
